"Age","Year","Value","Mode","Data","Source","Model"
1,1987,0.999877481009557,"Private car","Annual survival rate","LTA",NA
2,1987,0.997399123132942,"Private car","Annual survival rate","LTA",NA
3,1987,0.999820014398848,"Private car","Annual survival rate","LTA",NA
4,1987,0.998452710979305,"Private car","Annual survival rate","LTA",NA
5,1987,0.996630558004787,"Private car","Annual survival rate","LTA",NA
6,1987,0.972131908964236,"Private car","Annual survival rate","LTA",NA
7,1987,0.981140177037918,"Private car","Annual survival rate","LTA",NA
8,1987,0.986401770074675,"Private car","Annual survival rate","LTA",NA
9,1987,0.686138613861386,"Private car","Annual survival rate","LTA",NA
10,1987,0.563943055389401,"Private car","Annual survival rate","LTA",NA
11,1987,0.963959117805272,"Private car","Annual survival rate","LTA",NA
12,1987,0.931607230092819,"Private car","Annual survival rate","LTA",NA
13,1987,0.934341698178068,"Private car","Annual survival rate","LTA",NA
14,1987,0.945795487840609,"Private car","Annual survival rate","LTA",NA
1,1988,0.999841383139028,"Private car","Annual survival rate","LTA",NA
2,1988,0.999387329984071,"Private car","Annual survival rate","LTA",NA
3,1988,1,"Private car","Annual survival rate","LTA",NA
4,1988,0.9999099909991,"Private car","Annual survival rate","LTA",NA
5,1988,0.992509846968425,"Private car","Annual survival rate","LTA",NA
6,1988,0.986318683054757,"Private car","Annual survival rate","LTA",NA
7,1988,0.984624071580593,"Private car","Annual survival rate","LTA",NA
8,1988,0.969062447399428,"Private car","Annual survival rate","LTA",NA
9,1988,0.773447357353147,"Private car","Annual survival rate","LTA",NA
10,1988,0.644829244829245,"Private car","Annual survival rate","LTA",NA
11,1988,0.984089944845142,"Private car","Annual survival rate","LTA",NA
12,1988,0.976004464285714,"Private car","Annual survival rate","LTA",NA
13,1988,0.965915049816466,"Private car","Annual survival rate","LTA",NA
14,1988,0.973877851361295,"Private car","Annual survival rate","LTA",NA
1,1989,1,"Private car","Annual survival rate","LTA",NA
2,1989,1,"Private car","Annual survival rate","LTA",NA
3,1989,1,"Private car","Annual survival rate","LTA",NA
4,1989,1,"Private car","Annual survival rate","LTA",NA
5,1989,1,"Private car","Annual survival rate","LTA",NA
6,1989,0.987899290872422,"Private car","Annual survival rate","LTA",NA
7,1989,0.96604305484367,"Private car","Annual survival rate","LTA",NA
8,1989,0.954784066346111,"Private car","Annual survival rate","LTA",NA
9,1989,0.755297714166609,"Private car","Annual survival rate","LTA",NA
10,1989,0.64068636336173,"Private car","Annual survival rate","LTA",NA
11,1989,0.98731911084589,"Private car","Annual survival rate","LTA",NA
12,1989,0.985126104763958,"Private car","Annual survival rate","LTA",NA
13,1989,0.970840480274443,"Private car","Annual survival rate","LTA",NA
14,1989,0.961454940282302,"Private car","Annual survival rate","LTA",NA
1,1990,1,"Private car","Annual survival rate","LTA",NA
2,1990,1,"Private car","Annual survival rate","LTA",NA
3,1990,1,"Private car","Annual survival rate","LTA",NA
4,1990,1,"Private car","Annual survival rate","LTA",NA
5,1990,1,"Private car","Annual survival rate","LTA",NA
6,1990,0.994780182693606,"Private car","Annual survival rate","LTA",NA
7,1990,0.980704642739546,"Private car","Annual survival rate","LTA",NA
8,1990,0.976621567847195,"Private car","Annual survival rate","LTA",NA
9,1990,0.739419700609869,"Private car","Annual survival rate","LTA",NA
10,1990,0.56052801030264,"Private car","Annual survival rate","LTA",NA
11,1990,0.974820822331196,"Private car","Annual survival rate","LTA",NA
12,1990,0.9744635841644,"Private car","Annual survival rate","LTA",NA
13,1990,0.972647702407002,"Private car","Annual survival rate","LTA",NA
14,1990,0.952296819787986,"Private car","Annual survival rate","LTA",NA
1,1991,0.999968656950321,"Private car","Annual survival rate","LTA",NA
2,1991,1,"Private car","Annual survival rate","LTA",NA
3,1991,1,"Private car","Annual survival rate","LTA",NA
4,1991,1,"Private car","Annual survival rate","LTA",NA
5,1991,1,"Private car","Annual survival rate","LTA",NA
6,1991,1,"Private car","Annual survival rate","LTA",NA
7,1991,0.995567014972633,"Private car","Annual survival rate","LTA",NA
8,1991,0.992378458232608,"Private car","Annual survival rate","LTA",NA
